0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:18:08 +0900] "GET /newgyms/download.do?product_id=16&fileName=%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C.jpg HTTP/1.1" 200 58768
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:18:10 +0900] "GET /newgyms/owner/order/ownerOrderList.do?center_name=%EB%89%B4%EC%A7%90%EC%8A%A4%20%EC%84%B8%EC%A2%85%EC%A0%90 HTTP/1.1" 200 13914
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:18:10 +0900] "GET /newgyms/resources/jquery/carousel.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:18:10 +0900] "GET /newgyms/resources/jquery/jquery.easing.1.3.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:18:10 +0900] "GET /newgyms/resources/jquery/stickysidebar.jquery.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:18:11 +0900] "GET /newgyms/owner/main/ownerPageIntroModifyForm.do?member_id=newgymssj HTTP/1.1" 500 24053
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:45 +0900] "GET /newgyms/owner/main/ownerPageIntroModifyForm.do?member_id=newgymssj HTTP/1.1" 200 16855
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:45 +0900] "GET /newgyms/resources/jquery/carousel.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:45 +0900] "GET /newgyms/resources/jquery/jquery.easing.1.3.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:45 +0900] "GET /newgyms/resources/jquery/stickysidebar.jquery.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:45 +0900] "GET /newgyms/resources/css/mypage.css?after HTTP/1.1" 200 8146
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:45 +0900] "GET /newgyms/resources/css/owner.css?after HTTP/1.1" 200 9358
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:47 +0900] "GET /newgyms/owner/main/ownerPageIntroModifyForm.do?member_id=newgymssj HTTP/1.1" 200 16855
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:47 +0900] "GET /newgyms/resources/jquery/carousel.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:47 +0900] "GET /newgyms/resources/jquery/jquery.easing.1.3.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:47 +0900] "GET /newgyms/resources/jquery/stickysidebar.jquery.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/main/main.do HTTP/1.1" 200 27714
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/resources/jquery/basic-jquery-slider.js HTTP/1.1" 200 11143
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/resources/jquery/carousel.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/resources/css/basic-jquery-slider.css?after HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/resources/css/footer.css?after HTTP/1.1" 200 1381
